ind ;błędy w wiadomości;błędy w części kontrolnej;sukces dekodowania [%];stopień zepsucia wiadomości [%]
0;0;0;100.0;0.0
1;0;1;100.0;6.67
2;0;2;100.0;13.33
3;0;3;100.0;20.0
4;0;4;0.0;26.67
5;1;0;100.0;6.67
6;1;1;57.4;13.33
7;1;2;29.3;20.0
8;1;3;0.0;26.67
9;1;4;0.0;33.33
10;2;0;83.2;13.33
11;2;1;18.1;20.0
12;2;2;0.0;26.67
13;2;3;0.0;33.33
14;2;4;0.0;40.0
15;3;0;58.4;20.0
16;3;1;0.0;26.67
17;3;2;0.0;33.33
18;3;3;0.0;40.0
19;3;4;0.0;46.67
20;4;0;0.0;26.67
21;4;1;0.0;33.33
22;4;2;0.0;40.0
23;4;3;0.0;46.67
24;4;4;0.0;53.33
