ind;message;pairity;decoding;failure
0;0;0;100.0;0.0
1;0;1;100.0;0.0
2;0;2;100.0;0.0
3;0;3;100.0;0.0
4;0;4;100.0;0.0
5;0;5;100.0;0.0
6;0;6;100.0;0.0
7;0;7;100.0;0.0
8;0;8;100.0;0.0
9;1;0;100.0;0.0
10;1;1;100.0;0.0
11;1;2;100.0;0.0
12;1;3;100.0;0.0
13;1;4;100.0;0.0
14;1;5;100.0;0.0
15;1;6;100.0;0.0
16;1;7;100.0;0.0
17;2;0;100.0;0.0
18;2;1;100.0;0.0
19;2;2;100.0;0.0
20;2;3;100.0;0.0
21;2;4;100.0;0.0
22;2;5;100.0;0.0
23;2;6;100.0;0.0
24;3;0;100.0;0.0
25;3;1;100.0;0.0
26;3;2;100.0;0.0
27;3;3;100.0;0.0
28;3;4;100.0;0.0
29;3;5;100.0;0.0
30;4;0;100.0;0.0
31;4;1;100.0;0.0
32;4;2;100.0;0.0
33;4;3;100.0;0.0
34;4;4;100.0;0.0
35;5;0;100.0;0.0
36;5;1;100.0;0.0
37;5;2;100.0;0.0
38;5;3;100.0;0.0
39;6;0;100.0;0.0
40;6;1;100.0;0.0
41;6;2;100.0;0.0
42;7;0;100.0;0.0
43;7;1;100.0;0.0
44;8;0;100.0;0.0
