ind;message;pairity;decoding;failure;broken message(%)
0;0;0;100.0;0.0;0.0
1;0;1;100.0;0.0;0.39
2;0;2;100.0;0.0;0.78
3;0;3;100.0;0.0;1.18
4;0;4;100.0;0.0;1.57
5;0;5;100.0;0.0;1.96
6;0;6;100.0;0.0;2.35
7;0;7;100.0;0.0;2.75
8;0;8;100.0;0.0;3.14
9;1;0;100.0;0.0;0.39
10;1;1;100.0;0.0;0.78
11;1;2;100.0;0.0;1.18
12;1;3;100.0;0.0;1.57
13;1;4;100.0;0.0;1.96
14;1;5;100.0;0.0;2.35
15;1;6;100.0;0.0;2.75
16;1;7;100.0;0.0;3.14
17;2;0;100.0;0.0;0.78
18;2;1;100.0;0.0;1.18
19;2;2;100.0;0.0;1.57
20;2;3;100.0;0.0;1.96
21;2;4;100.0;0.0;2.35
22;2;5;100.0;0.0;2.75
23;2;6;100.0;0.0;3.14
24;3;0;100.0;0.0;1.18
25;3;1;100.0;0.0;1.57
26;3;2;100.0;0.0;1.96
27;3;3;100.0;0.0;2.35
28;3;4;100.0;0.0;2.75
29;3;5;100.0;0.0;3.14
30;4;0;100.0;0.0;1.57
31;4;1;100.0;0.0;1.96
32;4;2;100.0;0.0;2.35
33;4;3;100.0;0.0;2.75
34;4;4;100.0;0.0;3.14
35;5;0;100.0;0.0;1.96
36;5;1;100.0;0.0;2.35
37;5;2;100.0;0.0;2.75
38;5;3;100.0;0.0;3.14
39;6;0;100.0;0.0;2.35
40;6;1;100.0;0.0;2.75
41;6;2;100.0;0.0;3.14
42;7;0;100.0;0.0;2.75
43;7;1;100.0;0.0;3.14
44;8;0;100.0;0.0;3.14
45;41;9;0.0;0.0;19.61
46;18;15;0.0;0.0;12.94
47;23;9;0.0;0.0;12.55
48;21;16;0.0;0.0;14.51
49;80;12;0.0;0.0;36.08
50;187;9;0.0;0.0;76.86
51;212;12;0.0;0.0;87.84
52;45;9;0.0;0.0;21.18
53;120;11;0.0;0.0;51.37
54;175;9;0.0;0.0;72.16
55;19;15;0.0;0.0;13.33
56;168;9;0.0;0.0;69.41
57;9;16;0.0;0.0;9.8
58;47;11;0.0;0.0;22.75
59;13;9;0.0;0.0;8.63
60;14;12;0.0;0.0;10.2
61;152;11;0.0;0.0;63.92
62;184;11;0.0;0.0;76.47
63;47;15;0.0;0.0;24.31
64;217;14;0.0;0.0;90.59
65;236;9;0.0;0.0;96.08
66;111;13;0.0;0.0;48.63
67;59;16;0.0;0.0;29.41
68;38;16;0.0;0.0;21.18
69;52;10;0.0;0.0;24.31
70;191;10;0.0;0.0;78.82
71;194;9;0.0;0.0;79.61
72;30;9;0.0;0.0;15.29
73;158;15;0.0;0.0;67.84
74;171;16;0.0;0.0;73.33
