;message;pairity;decoding;failure
0;135;13;0.0;0.0
1;21;14;0.0;0.0
2;89;14;0.0;0.0
3;53;13;0.0;0.0
4;233;15;0.0;0.0
5;183;15;0.0;0.0
6;28;12;0.0;0.0
7;19;14;0.0;0.0
8;60;11;0.0;0.0
9;104;9;0.0;0.0
10;188;9;0.0;0.0
11;233;15;0.0;0.0
12;87;11;0.0;0.0
13;137;16;0.0;0.0
14;65;11;0.0;0.0
15;53;14;0.0;0.0
16;143;9;0.0;0.0
17;59;10;0.0;0.0
18;213;15;0.0;0.0
19;20;10;0.0;0.0
20;85;13;0.0;0.0
21;208;10;0.0;0.0
22;18;16;0.0;0.0
23;163;11;0.0;0.0
24;126;15;0.0;0.0
25;13;14;0.0;0.0
26;144;11;0.0;0.0
27;98;15;0.0;0.0
28;51;11;0.0;0.0
29;164;16;0.0;0.0
